ARCID;ATYP;ADEP;ADES;RM;ARF;ETD;TT;ETA;Flight Time;Adjusted Time;CAT;Seats;Airline;Coming From;TAS(kts);TAS(m/s);Distancia (km)
EXS37FA;B738;LEBL;EGBB;OMLEX;320;9:37:00;20;11:40:00;2:03:00;1:28:00;D;184;EXS;ECAC;429.2;220.8;1165.82
VLG2TP;A321;LIRN;LEBL;ECMPV;340;8:14:00;9;9:40:00;1:26:00;1:02:00;D;207;VLG;ECAC;441.6;227.2;845.18
VLG8010;A20N;LEBL;LFPO;ECNCU;340;9:41:00;11;11:00:00;1:19:00;0:53:00;D;174;VLG;ECAC;441.6;227.2;722.5
DAL168;A333;KJFK;LEBL;N810NW;390;2:25:00;30;9:45:00;7:20:00;6:35:00;B;284;DAL;Non-ECAC;472.7;243.2;5763.84
NSZ2NJ;B738;LEBL;ESSA;SERXB;390;9:45:00;20;12:55:00;3:10:00;2:35:00;D;184;NSZ;ECAC;472.7;243.2;2261.76
VLG4QA;A320;LEBL;LEZL;ECLOP;330;9:47:00;12;10:55:00;1:08:00;0:41:00;D;173;VLG;ECAC;435.4;224;551.04
EZY68YK;A319;LEBL;EGKK;GEZFT;340;9:36:00;21;11:40:00;2:04:00;1:28:00;D;144;EZY;ECAC;441.6;227.2;1199.62
VLG3AW;A320;LEST;LEBL;ECMAN;320;8:15:00;15;9:45:00;1:30:00;1:00:00;D;173;VLG;ECAC;429.2;220.8;794.88
VLG45FL;A320;LEBL;LIBD;ECLLJ;380;9:46:00;11;11:30:00;1:44:00;1:18:00;D;173;VLG;ECAC;466.5;240;1123.2
VLG41QL;A321;LDDU;LEBL;ECMQL;340;7:59:00;9;9:50:00;1:51:00;1:27:00;D;207;VLG;ECAC;441.6;227.2;1185.98
VLG68LU;A319;LIRQ;LEBL;ECMKV;350;8:35:00;20;9:50:00;1:15:00;0:40:00;D;144;VLG;ECAC;447.8;230.4;552.96
EIN5WG;A20N;LEBL;EIDW;EINSA;360;9:55:00;21;11:55:00;2:00:00;1:24:00;D;174;EIN;ECAC;454.1;233.6;1177.34
RYR74XY;B738;EBBR;LEBL;EIDCJ;370;8:19:00;13;9:50:00;1:31:00;1:03:00;D;184;RYR;ECAC;460.3;236.8;895.1
VLG2EQ;A20N;EKCH;LEBL;ECNCS;390;7:25:00;10;9:50:00;2:25:00;2:00:00;D;174;VLG;ECAC;472.7;243.2;1751.04
ITY077;A20N;LEBL;LIRF;EIHOM;340;9:52:00;10;11:10:00;1:18:00;0:53:00;D;174;ITY;ECAC;441.6;227.2;722.5
BAW484C;A319;EGLL;LEBL;GEUOE;350;8:27:00;27;9:50:00;1:23:00;0:41:00;D;144;BAW;ECAC;447.8;230.4;566.78
VLG49SM;A320;LEBL;LOWW;ECOFU;380;9:53:00;10;11:55:00;2:02:00;1:37:00;D;173;VLG;ECAC;466.5;240;1396.8
WMT3025;A21N;LIMC;LEBL;9HWNI;330;8:51:00;16;9:55:00;1:04:00;0:33:00;D;230;WMT;ECAC;435.4;224;443.52
VLG8SD;A320;LEBB;LEBL;ECJYX;300;8:57:00;10;9:55:00;0:58:00;0:33:00;D;173;VLG;ECAC;416.8;214.4;424.51
