ARCID;ATYP;ADEP;ADES;RM;ARF;ETD;TT;ETA;Flight Time;Adjusted Time;CAT;Seats;Airline;Coming From;TAS(kts);TAS(m/s);Distancia (km)
VLG778R;A320;LEBL;LEIB;ECKDX;190;11:46:00;11;12:20:00;0:34:00;0:08:00;D;173;VLG;ECAC;348.4;179.2;86.02
NJE451B;E55P;LEMG;LEBL;CSPJC;340;10:30:00;10;11:45:00;1:15:00;0:50:00;F;9;NJE;ECAC;441.6;227.2;681.6
UAL769;B788;KORD;LEBL;N20904;410;2:59:00;24;11:45:00;8:46:00;8:07:00;B;266;UAL;Non-ECAC;485.1;249.6;7293.31
UAE185;A388;OMDB;LEBL;A6EOT;400;4:25:00;10;11:45:00;7:20:00;6:55:00;A;492;UAE;Non-ECAC;478.9;246.4;6135.36
AFR29VR;A321;LEBL;LFPG;FGTAQ;320;11:40:00;10;13:10:00;1:30:00;1:05:00;D;207;AFR;ECAC;429.2;220.8;861.12
AAL113;B788;LEBL;KMIA;N870AX;400;11:44:00;14;20:35:00;8:51:00;8:22:00;B;266;AAL;ECAC;478.9;246.4;7421.57
VLG4SQ;A320;EGKK;LEBL;ECMXP;370;10:17:00;18;11:50:00;1:33:00;1:00:00;D;173;VLG;ECAC;460.3;236.8;852.48
VLG2915;A20N;LFBD;LEBL;ECNFK;330;11:13:00;11;11:50:00;0:37:00;0:11:00;D;174;VLG;ECAC;435.4;224;147.84
RYR9DX;B738;GCXO;LEBL;EIENF;380;8:54:00;4;11:55:00;3:01:00;2:42:00;D;184;RYR;ECAC;466.5;240;2332.8
VLG715N;A21N;LEBL;LEMH;ECNYE;190;11:55:00;10;12:25:00;0:30:00;0:05:00;D;230;VLG;ECAC;348.4;179.2;53.76
UAL672;B772;KSFO;LEBL;N218UA;390;1:05:00;25;11:55:00;10:50:00;10:10:00;B;296;UAL;Non-ECAC;472.7;243.2;8901.12
VLG6YH;A320;LEBL;LEZL;ECMES;310;11:53:00;12;13:05:00;1:12:00;0:45:00;D;173;VLG;ECAC;423;217.6;587.52
VLG7339;A320;GMMI;LEBL;ECKDG;380;10:00:00;15;11:55:00;1:55:00;1:25:00;D;173;VLG;Non-ECAC;466.5;240;1224
RYR64VP;B738;LPPR;LEBL;EIEVT;320;10:25:00;15;12:00:00;1:35:00;1:05:00;D;184;RYR;ECAC;429.2;220.8;861.12
IBE04KP;A321;LEBL;LEMD;ECJDM;290;11:47:00;12;12:50:00;1:03:00;0:36:00;D;207;IBE;ECAC;410.5;211.2;456.19
MAC375P;A320;GMMW;LEBL;CNNML;380;10:38:00;10;12:00:00;1:22:00;0:57:00;D;173;MAC;Non-ECAC;466.5;240;820.8
BEL9QH;A320;EBBR;LEBL;OOSNK;370;10:31:00;10;12:00:00;1:29:00;1:04:00;D;173;BEL;ECAC;460.3;236.8;909.31
VLG9EK;A321;GCRR;LEBL;ECMMH;360;9:38:00;10;12:00:00;2:22:00;1:57:00;D;207;VLG;ECAC;454.1;233.6;1639.87
VLG84YN;A321;LFPO;LEBL;ECMQB;330;10:44:00;8;12:05:00;1:21:00;0:58:00;D;207;VLG;ECAC;435.4;224;779.52
RYR33UV;B738;LPPR;LEBL;EIDCW;320;10:30:00;15;12:05:00;1:35:00;1:05:00;D;184;RYR;ECAC;429.2;220.8;861.12
RYR9MM;B738;LEBL;LEMH;EIDPI;190;12:05:00;20;12:35:00;0:30:00;0:15:00;D;184;RYR;ECAC;348.4;179.2;161.28
EJU91VG;A319;LSGG;LEBL;OELVG;290;11:05:00;10;12:05:00;1:00:00;0:35:00;D;144;EJU;ECAC;410.5;211.2;443.52
IBE04BV;A321;LEMD;LEBL;ECJDR;280;11:11:00;16;12:10:00;0:59:00;0:28:00;D;207;IBE;ECAC;404.3;208;349.44
RYR36EW;B738;LEPA;LEBL;9HQFK;180;11:37:00;17;12:10:00;0:33:00;0:01:00;D;184;RYR;ECAC;342.2;176;10.56
RYR37AR;B738;LEAL;LEBL;EIDLD;260;11:13:00;13;12:10:00;0:57:00;0:29:00;D;184;RYR;ECAC;391.9;201.6;350.78
PGT36QW;A21N;LEBL;LTFJ;TCRBL;360;12:18:00;21;15:10:00;2:52:00;2:16:00;D;230;PGT;ECAC;454.1;233.6;1906.18
VLG9UZ;A21N;GCLP;LEBL;ECNYF;340;9:17:00;14;12:15:00;2:58:00;2:29:00;D;230;VLG;ECAC;441.6;227.2;2031.17
VLG62LR;A320;LEBL;LICC;ECKHN;370;12:12:00;11;14:05:00;1:53:00;1:27:00;D;173;VLG;ECAC;460.3;236.8;1236.1
WMT8097;A320;LRCL;LEBL;9HWDA;370;9:40:00;10;12:15:00;2:35:00;2:10:00;D;173;WMT;ECAC;460.3;236.8;1847.04
VLG734G;A321;LEBL;LEAM;ECMQL;310;12:11:00;11;13:10:00;0:59:00;0:33:00;D;207;VLG;ECAC;423;217.6;430.85
AAL743;B789;LEBL;KPHL;N820AL;380;12:16:00;13;19:30:00;7:14:00;6:46:00;B;284;AAL;ECAC;466.5;240;5846.4
VLG584F;A320;LEMG;LEBL;ECNUO;320;11:08:00;11;12:20:00;1:12:00;0:46:00;D;173;VLG;ECAC;429.2;220.8;609.41
JCO025M;GLEX;LEBL;LSGS;GIFMI;320;12:20:00;20;13:35:00;1:15:00;0:40:00;E;14;JCO;ECAC;429.2;220.8;529.92
EJU52LT;A319;LEBL;LIMC;OELQQ;300;12:21:00;20;13:35:00;1:14:00;0:39:00;D;144;EJU;ECAC;416.8;214.4;501.7
QTR25Q;B789;OTHH;LEBL;A7BHW;380;6:05:00;10;12:25:00;6:20:00;5:55:00;B;284;QTR;Non-ECAC;466.5;240;5112
VLG93TY;A321;LIRF;LEBL;ECMLD;340;11:03:00;15;12:25:00;1:22:00;0:52:00;D;207;VLG;ECAC;441.6;227.2;708.86
VLG54HE;A320;LEBL;LSZH;ECMBE;340;12:19:00;11;13:50:00;1:31:00;1:05:00;D;173;VLG;ECAC;441.6;227.2;886.08
DLH74K;A20N;LEBL;EDDF;DAINJ;340;12:17:00;10;14:15:00;1:58:00;1:33:00;D;174;DLH;ECAC;441.6;227.2;1267.78
IBE26RR;A332;LEBL;KLAX;ECODA;400;12:23:00;14;0:15:00;11:52:00;11:23:00;B;281;IBE;ECAC;478.9;246.4;10097.47
RYR7543;B738;LEBL;GMTT;EIENG;370;12:25:00;20;13:50:00;1:25:00;0:50:00;D;184;RYR;ECAC;460.3;236.8;710.4
RAM964Y;B738;GMMN;LEBL;CNRGW;380;10:30:00;16;12:25:00;1:55:00;1:24:00;D;184;RAM;Non-ECAC;466.5;240;1209.6
RYR895N;B738;GMMX;LEBL;EIDCN;380;10:39:00;15;12:25:00;1:46:00;1:16:00;D;184;RYR;Non-ECAC;466.5;240;1094.4
ORO1041;C25C;LEBL;LEMH;ECNQS;190;12:05:00;20;12:55:00;0:50:00;0:15:00;F;9;ORO;ECAC;348.4;179.2;161.28
VLG10LL;A20N;LEPA;LEBL;ECNBA;180;12:00:00;20;12:30:00;0:30:00;0:15:00;D;174;VLG;ECAC;342.2;176;158.4
VLG9VN;A321;GCXO;LEBL;ECMOO;360;9:38:00;8;12:30:00;2:52:00;2:29:00;D;207;VLG;ECAC;454.1;233.6;2088.38
AVA019;B788;LEBL;SKBO;N780AV;400;12:22:00;13;22:15:00;9:53:00;9:25:00;B;266;AVA;ECAC;478.9;246.4;8352.96
NMA7801;A320;LEBL;HESX;SUNMH;340;12:29:00;16;16:10:00;3:41:00;3:10:00;D;173;NMA;ECAC;441.6;227.2;2590.08
PVA839P;GLEX;LFMN;LEBL;N551SW;290;11:32:00;12;12:30:00;0:58:00;0:31:00;E;14;PVA;ECAC;410.5;211.2;392.83
VLG1HW;A320;GCFV;LEBL;ECKDH;380;9:48:00;10;12:35:00;2:47:00;2:22:00;D;173;VLG;ECAC;466.5;240;2044.8
VLG4DX;A320;ESSA;LEBL;ECMKN;370;9:40:00;15;12:35:00;2:55:00;2:25:00;D;173;VLG;ECAC;460.3;236.8;2060.16
VLG46YC;A321;LEBL;LFPG;ECNLV;320;12:31:00;11;14:00:00;1:29:00;1:03:00;D;207;VLG;ECAC;429.2;220.8;834.62
VLG360H;A320;LEBL;LEPA;ECOJH;150;12:20:00;10;13:00:00;0:40:00;0:15:00;D;173;VLG;ECAC;323.5;166.4;149.76
IBE26HD;A332;LEBL;KSFO;ECNEN;400;12:30:00;19;0:35:00;12:05:00;11:31:00;B;281;IBE;ECAC;478.9;246.4;10215.74
VLG60GG;A320;EGBB;LEBL;ECMAI;390;11:07:00;12;12:35:00;1:28:00;1:01:00;D;173;VLG;ECAC;472.7;243.2;890.11
RZO507;A20N;LEBL;LPPD;CSTSK;380;12:35:00;20;15:50:00;3:15:00;2:40:00;D;174;RZO;ECAC;466.5;240;2304
VLG1GE;A320;LEBL;LEGR;ECMFN;310;12:26:00;11;13:55:00;1:29:00;1:03:00;D;173;VLG;ECAC;423;217.6;822.53
VTB788;C650;BKPR;LEBL;HAJEM;390;10:23:00;5;12:40:00;2:17:00;1:57:00;F;12;VTB;Non-ECAC;472.7;243.2;1707.26
RYR31UE;B38M;LEIB;LEBL;EIIJM;240;11:45:00;12;12:40:00;0:55:00;0:28:00;D;170;RYR;ECAC;379.5;195.2;327.94
JFA99X;PC24;LEBL;LSGG;LXZAP;340;12:39:00;20;14:00:00;1:21:00;0:46:00;F;8;JFA;ECAC;441.6;227.2;627.07
DAL169;A333;LEBL;KJFK;N810NW;360;12:41:00;26;19:55:00;7:14:00;6:33:00;B;284;DAL;ECAC;454.1;233.6;5508.29
BAW475E;A20N;LEBL;EGLL;GTTNT;340;12:38:00;13;14:30:00;1:52:00;1:24:00;D;174;BAW;ECAC;441.6;227.2;1145.09
VLG8JV;A320;LFPG;LEBL;ECODN;310;11:29:00;24;12:45:00;1:16:00;0:37:00;D;173;VLG;ECAC;423;217.6;483.07
ANE53GX;CRJX;LEBL;LELN;ECMLN;330;12:29:00;8;13:40:00;1:11:00;0:48:00;E;100;ANE;ECAC;435.4;224;645.12
VLG98EE;A320;LSGG;LEBL;ECMER;330;11:45:00;10;12:45:00;1:00:00;0:35:00;D;173;VLG;ECAC;435.4;224;470.4
SWR87C;A321;LSZH;LEBL;HBIOD;330;11:31:00;14;12:45:00;1:14:00;0:45:00;D;207;SWR;ECAC;435.4;224;604.8
RYR42EB;B738;EGGD;LEBL;EIDYX;370;11:20:00;15;12:45:00;1:25:00;0:55:00;D;184;RYR;ECAC;460.3;236.8;781.44
AAO14;E50P;LEBL;LIRI;OKVAN;360;12:43:00;20;14:40:00;1:57:00;1:22:00;F;5;AAO;ECAC;454.1;233.6;1149.31
VLG7HG;A320;LEAL;LEBL;ECOGE;260;11:48:00;13;12:50:00;1:02:00;0:34:00;D;173;VLG;ECAC;391.9;201.6;411.26
AXY385Y;CRJ2;LEBL;EGGW;9HYOU;340;12:20:00;20;14:45:00;2:25:00;1:50:00;E;49;AXY;ECAC;441.6;227.2;1499.52
VLG79UU;A320;LEBL;LEAL;ECMAO;270;12:48:00;10;13:30:00;0:42:00;0:17:00;D;173;VLG;ECAC;398.1;204.8;208.9
EJU38KP;A20N;LPPT;LEBL;OELSQ;380;10:58:00;18;12:50:00;1:52:00;1:19:00;D;174;EJU;ECAC;466.5;240;1137.6
NSZ5527;B738;ENBR;LEBL;SERPE;390;10:09:00;9;12:50:00;2:41:00;2:17:00;D;184;NSZ;ECAC;472.7;243.2;1999.1
TRA4W;B738;LEBL;EHAM;PHHXB;360;12:52:00;20;14:35:00;1:43:00;1:08:00;D;184;TRA;ECAC;454.1;233.6;953.09
VLG15RE;A321;LEBL;LIRF;ECMGY;340;12:53:00;12;14:10:00;1:17:00;0:50:00;D;207;VLG;ECAC;441.6;227.2;681.6
VLG70CR;A320;LEZL;LEBL;ECOFH;340;11:34:00;10;12:55:00;1:21:00;0:56:00;D;173;VLG;ECAC;441.6;227.2;763.39
VLG8022;A320;LEBL;LFPO;ECLVO;340;12:45:00;10;14:10:00;1:25:00;1:00:00;D;173;VLG;ECAC;441.6;227.2;817.92
SVA229;A333;OEJN;LEBL;HZAQ11;380;7:30:00;0;12:55:00;5:25:00;5:10:00;B;284;SVA;Non-ECAC;466.5;240;4464
THY5BG;A321;LEBL;LTFM;TCJSC;360;12:55:00;12;15:50:00;2:55:00;2:28:00;D;207;THY;ECAC;454.1;233.6;2074.37
MSR767;A21N;HECA;LEBL;SUGFU;360;9:15:00;15;12:55:00;3:40:00;3:10:00;D;230;MSR;Non-ECAC;454.1;233.6;2663.04
DLH04P;A20N;EDDM;LEBL;DAINO;390;11:27:00;11;12:55:00;1:28:00;1:02:00;D;174;DLH;ECAC;472.7;243.2;904.7
WJA7;B789;LEBL;CYYC;CGKKN;380;12:56:00;23;22:20:00;9:24:00;8:46:00;B;284;WJA;ECAC;466.5;240;7574.4
RJA107;A20N;OJAI;LEBL;JYRAH;370;8:35:00;10;13:00:00;4:25:00;4:00:00;D;174;RJA;Non-ECAC;460.3;236.8;3409.92
WZZ2JK;A320;EPKT;LEBL;HALWU;380;10:40:00;10;13:00:00;2:20:00;1:55:00;D;173;WZZ;ECAC;466.5;240;1656
VLG2PL;A320;LEMG;LEBL;ECOJF;360;11:36:00;16;13:00:00;1:24:00;0:53:00;D;173;VLG;ECAC;454.1;233.6;742.85
AEA41FY;B738;LEPA;LEBL;ECLQX;180;11:56:00;17;13:00:00;1:04:00;0:32:00;D;184;AEA;ECAC;342.2;176;337.92
WMT523;A321;LROP;LEBL;HALXQ;350;10:33:00;10;13:05:00;2:32:00;2:07:00;D;207;WMT;ECAC;447.8;230.4;1755.65
VLG7NU;A321;LEGR;LEBL;ECNLY;340;12:00:00;5;13:05:00;1:05:00;0:45:00;D;207;VLG;ECAC;441.6;227.2;613.44
RYR82GJ;B738;LEBL;LPPR;EIEVT;330;13:16:00;20;14:30:00;1:14:00;0:39:00;D;184;RYR;ECAC;435.4;224;524.16
EWG2U;A319;EDDS;LEBL;DABGN;350;11:43:00;8;13:10:00;1:27:00;1:04:00;D;144;EWG;ECAC;447.8;230.4;884.74
TSC261;A21N;LEBL;CYUL;CGOKG;360;13:07:00;17;20:20:00;7:13:00;6:41:00;D;230;TSC;ECAC;454.1;233.6;5620.42
WMT227;A21N;LIPZ;LEBL;9HWNX;350;11:41:00;11;13:10:00;1:29:00;1:03:00;D;230;WMT;ECAC;447.8;230.4;870.91
RYR9YB;B738;LEBL;LFOB;EIENF;340;13:05:00;20;14:35:00;1:30:00;0:55:00;D;184;RYR;ECAC;441.6;227.2;749.76
VLG52RX;A20N;LFPO;LEBL;ECNCU;390;11:56:00;8;13:15:00;1:19:00;0:56:00;D;174;VLG;ECAC;472.7;243.2;817.15
VLG2976;A321;LEBL;LFRS;ECMLM;320;13:15:00;10;14:20:00;1:05:00;0:40:00;D;207;VLG;ECAC;429.2;220.8;529.92
VLG4HQ;A320;LEMH;LEBL;ECMAN;180;12:44:00;10;13:15:00;0:31:00;0:06:00;D;173;VLG;ECAC;342.2;176;63.36
NJE674Y;E55P;LEBL;LEGE;CSPJC;190;13:20:00;20;13:45:00;0:25:00;0:15:00;F;9;NJE;ECAC;348.4;179.2;161.28
DLH91A;A321;EDDF;LEBL;DAISI;370;11:46:00;11;13:15:00;1:29:00;1:03:00;D;207;DLH;ECAC;460.3;236.8;895.1
TDR153;A320;LJLJ;LEBL;9ABTK;350;11:54:00;8;13:15:00;1:21:00;0:58:00;D;173;TDR;ECAC;447.8;230.4;801.79
VOE55YD;A320;LFRS;LEBL;ECNPC;330;12:15:00;10;13:20:00;1:05:00;0:40:00;D;173;VOE;ECAC;435.4;224;537.6
VLG59VA;A20N;LEBL;EDDS;ECNFK;340;13:23:00;11;14:50:00;1:27:00;1:01:00;D;174;VLG;ECAC;441.6;227.2;831.55
VLG795H;A320;EHAM;LEBL;ECMVE;370;11:32:00;24;13:20:00;1:48:00;1:09:00;D;173;VLG;ECAC;460.3;236.8;980.35
IBE04AW;A321;LEBL;LEMD;ECJDR;290;13:11:00;12;14:10:00;0:59:00;0:32:00;D;207;IBE;ECAC;410.5;211.2;405.5
VOE67QG;A320;LIEO;LEBL;ECNOL;330;12:21:00;15;13:25:00;1:04:00;0:34:00;D;173;VOE;ECAC;435.4;224;456.96
BTI26R;BCS3;LEBL;EVRA;YLABX;370;13:26:00;20;16:35:00;3:09:00;2:34:00;D;150;BTI;ECAC;460.3;236.8;2188.03
VLG34YJ;A319;LIRQ;LEBL;ECMIQ;360;12:08:00;20;13:25:00;1:17:00;0:42:00;D;144;VLG;ECAC;454.1;233.6;588.67
VLG73UX;A320;LEBL;LEMG;ECNUO;350;13:24:00;11;14:30:00;1:06:00;0:40:00;D;173;VLG;ECAC;447.8;230.4;552.96
KAC136;A338;LEBL;OKKK;9KAPF;390;13:22:00;21;18:45:00;5:23:00;4:47:00;B;260;KAC;ECAC;472.7;243.2;4187.9
NSZ2KT;B738;ESSA;LEBL;SERRF;390;10:20:00;15;13:25:00;3:05:00;2:35:00;D;184;NSZ;ECAC;472.7;243.2;2261.76
BAW406;A319;EGLL;LEBL;GEUPN;350;11:53:00;18;13:30:00;1:37:00;1:04:00;D;144;BAW;ECAC;447.8;230.4;884.74
RYR7451;B738;LIRF;LEBL;9HQEK;330;12:22:00;14;13:30:00;1:08:00;0:39:00;D;184;RYR;ECAC;435.4;224;524.16
VLG64QA;A320;LEBL;GCXO;ECMXP;370;13:27:00;12;16:30:00;3:03:00;2:36:00;D;173;VLG;ECAC;460.3;236.8;2216.45
AFR83CM;BCS3;LFPG;LEBL;FHZUN;370;12:05:00;14;13:30:00;1:25:00;0:56:00;D;150;AFR;ECAC;460.3;236.8;795.65
VLG5LZ;A320;LEBL;LEST;ECODM;330;13:28:00;13;14:45:00;1:17:00;0:49:00;D;173;VLG;ECAC;435.4;224;658.56
RYR98EL;B738;LEBL;EIDW;9HQFK;380;13:25:00;20;15:40:00;2:15:00;1:40:00;D;184;RYR;ECAC;466.5;240;1440
VLG4MY;A320;LEMH;LEBL;ECMVO;180;12:59:00;9;13:35:00;0:36:00;0:12:00;D;173;VLG;ECAC;342.2;176;126.72
VLG8UJ;A321;LEBL;LPPR;ECMLD;330;13:30:00;10;14:55:00;1:25:00;1:00:00;D;207;VLG;ECAC;435.4;224;806.4
BNI5V;C525;LFKF;LEBL;SPDLV;290;12:29:00;10;13:35:00;1:06:00;0:41:00;F;6;BNI;ECAC;410.5;211.2;519.55
VLG44NF;A320;LEBB;LEBL;ECJYX;300;12:47:00;9;13:35:00;0:48:00;0:24:00;D;173;VLG;ECAC;416.8;214.4;308.74
WMT3LD;A320;LEBL;LRCL;9HWDA;390;13:38:00;20;16:10:00;2:32:00;1:57:00;D;173;WMT;ECAC;472.7;243.2;1707.26
IBE26VE;A332;KSFO;LEBL;ECODB;410;3:35:00;25;13:35:00;10:00:00;9:20:00;B;281;IBE;Non-ECAC;485.1;249.6;8386.56
VLG82QN;A321;LEBL;EHAM;ECMQB;320;13:36:00;11;15:25:00;1:49:00;1:23:00;D;207;VLG;ECAC;429.2;220.8;1099.58
VLG19NT;A21N;LEBL;EBBR;ECNYF;340;13:30:00;10;15:20:00;1:50:00;1:25:00;D;230;VLG;ECAC;441.6;227.2;1158.72
VLG85XK;A320;LIRN;LEBL;ECOJG;340;12:14:00;12;13:40:00;1:26:00;0:59:00;D;173;VLG;ECAC;441.6;227.2;804.29
RYR39TN;B738;EGCC;LEBL;9HQBW;370;11:48:00;12;13:40:00;1:52:00;1:25:00;D;184;RYR;ECAC;460.3;236.8;1207.68
EJU68XF;A319;LEBL;LFMN;OELVG;300;13:45:00;20;14:40:00;0:55:00;0:20:00;D;144;EJU;ECAC;416.8;214.4;257.28
RYR88QQ;B738;LEBL;LIRF;EIDCW;340;13:40:00;20;15:00:00;1:20:00;0:45:00;D;184;RYR;ECAC;441.6;227.2;613.44
VLG4BP;A321;EGKK;LEBL;ECMMU;350;12:20:00;35;13:45:00;1:25:00;0:35:00;D;207;VLG;ECAC;447.8;230.4;483.84
BEL74C;A320;LEBL;EBBR;OOSNK;340;13:20:00;10;15:25:00;2:05:00;1:40:00;D;173;BEL;ECAC;441.6;227.2;1363.2
VLG49SU;A320;LEBL;LFMN;ECKDG;340;13:44:00;8;14:40:00;0:56:00;0:33:00;D;173;VLG;ECAC;441.6;227.2;449.86
VLG8483;A20N;LPFR;LEBL;ECMES;300;12:14:00;10;13:45:00;1:31:00;1:06:00;D;174;VLG;ECAC;416.8;214.4;849.02
VLG700D;A320;LEBL;LIPR;ECKDH;380;13:46:00;11;15:15:00;1:29:00;1:03:00;D;173;VLG;ECAC;466.5;240;907.2
VJA545;CL30;LEBL;EHAM;N545XJ;360;13:52:00;20;15:35:00;1:43:00;1:08:00;E;9;VJA;ECAC;454.1;233.6;953.09
RAM965Y;B738;LEBL;GMMN;CNRGW;370;13:42:00;12;15:25:00;1:43:00;1:16:00;D;184;RAM;ECAC;460.3;236.8;1079.81
RYR37EJ;B738;LEBL;EBBR;EIDCN;340;13:55:00;20;15:35:00;1:40:00;1:05:00;D;184;RYR;ECAC;441.6;227.2;886.08
UAL770;B788;LEBL;KORD;N20904;400;13:50:00;13;22:00:00;8:10:00;7:42:00;B;266;UAL;ECAC;478.9;246.4;6830.21
VLG8RP;A320;LEIB;LEBL;ECMYB;180;13:21:00;7;13:55:00;0:34:00;0:12:00;D;173;VLG;ECAC;342.2;176;126.72
VLG91UD;A320;LEBL;LEAS;ECLAB;330;13:45:00;10;15:00:00;1:15:00;0:50:00;D;173;VLG;ECAC;435.4;224;672
VLG9WF;A320;LIEO;LEBL;ECLVV;310;12:57:00;15;13:55:00;0:58:00;0:28:00;D;173;VLG;ECAC;423;217.6;365.57
RYR41SE;B738;LEBL;LKPR;EIDLD;380;14:01:00;21;15:55:00;1:54:00;1:18:00;D;184;RYR;ECAC;466.5;240;1123.2
ORO1042;C25C;LEMH;LEBL;ECNQS;180;13:25:00;5;13:55:00;0:30:00;0:10:00;F;9;ORO;ECAC;342.2;176;105.6
RYR68AM;B38M;LEBL;LIEA;EIIJM;340;14:00:00;20;14:55:00;0:55:00;0:20:00;D;170;RYR;ECAC;441.6;227.2;272.64
RYR7TC;B738;EGBB;LEBL;9HQAL;370;12:05:00;15;14:00:00;1:55:00;1:25:00;D;184;RYR;ECAC;460.3;236.8;1207.68
DLH65U;A20N;LEBL;EDDM;DAINO;380;13:56:00;11;15:45:00;1:49:00;1:23:00;D;174;DLH;ECAC;466.5;240;1195.2
EZY69CT;A320;EGGW;LEBL;GEZTM;350;12:10:00;13;14:00:00;1:50:00;1:22:00;D;173;EZY;ECAC;447.8;230.4;1133.57
IBE26LW;A332;LEBL;KMIA;ECOHY;400;13:53:00;13;23:20:00;9:27:00;8:59:00;B;281;IBE;ECAC;478.9;246.4;7968.58
VLG7VQ;A320;LEBL;LIBD;ECOGE;380;14:05:00;10;15:40:00;1:35:00;1:10:00;D;173;VLG;ECAC;466.5;240;1008
RYR32TM;B738;LOWW;LEBL;EIEFO;370;12:18:00;12;14:05:00;1:47:00;1:20:00;D;184;RYR;ECAC;460.3;236.8;1136.64
AFR34QV;BCS3;LFPG;LEBL;FHPNP;370;12:28:00;17;14:05:00;1:37:00;1:05:00;D;150;AFR;ECAC;460.3;236.8;923.52
VLG75AZ;A320;LEBL;LEZL;ECMKN;330;14:00:00;10;15:10:00;1:10:00;0:45:00;D;173;VLG;ECAC;435.4;224;604.8
MAC378Y;A320;LEBL;GMTT;CNNML;370;14:12:00;21;15:25:00;1:13:00;0:37:00;D;173;MAC;ECAC;460.3;236.8;525.7
RYR6421;B738;LPFR;LEBL;9HQEW;380;12:37:00;10;14:05:00;1:28:00;1:03:00;D;184;RYR;ECAC;466.5;240;907.2
VLG88TZ;A320;LDDU;LEBL;ECMEL;350;12:19:00;9;14:10:00;1:51:00;1:27:00;D;173;VLG;ECAC;447.8;230.4;1202.69
DLH21W;A320;EDDF;LEBL;DAIUA;370;12:22:00;12;14:10:00;1:48:00;1:21:00;D;173;DLH;ECAC;460.3;236.8;1150.85
VLG79TF;A321;LIMC;LEBL;ECMHB;290;12:57:00;17;14:10:00;1:13:00;0:41:00;D;207;VLG;ECAC;410.5;211.2;519.55
UAE256;B77L;LEBL;OMDB;A6EWG;370;14:06:00;12;20:20:00;6:14:00;5:47:00;B;240;UAE;ECAC;460.3;236.8;4930.18
RYR853B;B738;LIPZ;LEBL;EIDYW;350;12:28:00;13;14:10:00;1:42:00;1:14:00;D;184;RYR;ECAC;447.8;230.4;1022.98
VLG5KD;A321;LFRS;LEBL;ECNLX;330;13:05:00;10;14:10:00;1:05:00;0:40:00;D;207;VLG;ECAC;435.4;224;537.6
VLG41SF;A320;LFSB;LEBL;ECMAH;330;12:46:00;10;14:10:00;1:24:00;0:59:00;D;173;VLG;ECAC;435.4;224;792.96
AEA6071;B738;LEBL;LEPA;ECLQX;170;14:07:00;10;14:35:00;0:28:00;0:03:00;D;184;AEA;ECAC;335.9;172.8;31.1
VLG7WW;A320;LIBD;LEBL;ECLLJ;350;12:33:00;8;14:15:00;1:42:00;1:19:00;D;173;VLG;ECAC;447.8;230.4;1092.1
ITY076;A21N;LIRF;LEBL;EIHXG;350;12:55:00;11;14:15:00;1:20:00;0:54:00;D;230;ITY;ECAC;447.8;230.4;746.5
RYR82LH;B738;LEBL;EGGD;EIDYX;340;14:10:00;20;16:05:00;1:55:00;1:20:00;D;184;RYR;ECAC;441.6;227.2;1090.56
VLG7ZR;A320;LEBL;LEMG;ECOJF;370;14:11:00;11;15:20:00;1:09:00;0:43:00;D;173;VLG;ECAC;460.3;236.8;610.94
RYR3VJ;B738;EGGW;LEBL;EIEBF;350;12:25:00;18;14:15:00;1:50:00;1:17:00;D;184;RYR;ECAC;447.8;230.4;1064.45
WMT896;A321;LEBL;LROP;HALXQ;370;14:10:00;20;17:05:00;2:55:00;2:20:00;D;207;WMT;ECAC;460.3;236.8;1989.12
KLM93Z;B739;EHAM;LEBL;PHBXT;350;12:28:00;14;14:15:00;1:47:00;1:18:00;D;183;KLM;ECAC;447.8;230.4;1078.27
VLG6516;A320;LEBL;LIMF;ECMER;340;14:10:00;10;15:25:00;1:15:00;0:50:00;D;173;VLG;ECAC;441.6;227.2;681.6
VLG5MF;A321;LEBL;LEMH;ECMMH;190;14:18:00;11;14:45:00;0:27:00;0:01:00;D;207;VLG;ECAC;348.4;179.2;10.75
RYR1DC;B738;LEMH;LEBL;EIDPI;180;13:40:00;10;14:20:00;0:40:00;0:15:00;D;184;RYR;ECAC;342.2;176;158.4
EJU52PZ;A320;LFLL;LEBL;OEIVD;290;13:04:00;9;14:20:00;1:16:00;0:52:00;D;173;EJU;ECAC;410.5;211.2;658.94
VLG3TG;A320;EDDV;LEBL;ECNFK;370;12:25:00;10;14:20:00;1:55:00;1:30:00;D;173;VLG;ECAC;460.3;236.8;1278.72
VLG8HH;A321;LEBL;LIMC;ECMOO;300;14:17:00;12;15:35:00;1:18:00;0:51:00;D;207;VLG;ECAC;416.8;214.4;656.06
SXS4M;B38M;LEBL;LTBJ;TCSMN;370;14:23:00;20;17:10:00;2:47:00;2:12:00;D;170;SXS;ECAC;460.3;236.8;1875.46
RYR996Z;B738;LEST;LEBL;EIDWC;320;12:55:00;15;14:20:00;1:25:00;0:55:00;D;184;RYR;ECAC;429.2;220.8;728.64
NSZ5504;B738;LEBL;ESGG;SERPE;390;14:25:00;20;17:00:00;2:35:00;2:00:00;D;184;NSZ;ECAC;472.7;243.2;1751.04
VLG213Q;A21N;LEMH;LEBL;ECNYE;180;13:39:00;9;14:25:00;0:46:00;0:22:00;D;230;VLG;ECAC;342.2;176;232.32
