Delay,5,15,30,60,90,120,180,240,300
A,200,1080,3420,11500,22930,36960,72650,118100,172760
B,140,710,2190,7280,14430,23200,45460,73780,107800
C,110,560,1740,5820,11570,18620,36540,59340,86740
D,90,450,1390,4590,9100,14620,28620,46430,67820
E,50,240,700,2190,4250,6760,13080,21060,30620
F,40,180,490,1490,2850,4490,8580,13730,19880
