Aircraft Type,5,15,30,60,90,120,180,240,300
A,240,1370,5000,23430,63710,136330,194330,242440,302200
B,170,900,3200,14780,39960,85300,121880,152860,191990
C,100,620,2290,10620,29250,55150,74240,99700,132200
D,80,500,1820,8350,22920,43250,58420,78890,105380
E,40,250,890,3900,10530,19990,27480,38120,52780
F,30,180,610,2610,6960,13290,18550,26360,37610
